fa_numero|lf_numero|px_numero|pd_numero|lf_quantite|lf_montantht|lf_montantttc|update_time|update_user|pe_numero|ag_numero|fa_date|fa_reduction|fa_montantht|fa_montantttc|fa_accompte|fa_annotation|fa_libelle|update_time|update_user|de_numero|fa_numfact|so_numero
1411454|36624|||1|21.3809990205681|21.83|02/10/2005 18:44:34.420997|jean|1011630|12|16/05/2000|0.00|21.38|21.83|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2000001838|3
1411507|36674|||1|19.3437806072478|19.75|02/10/2005 18:44:34.420997|jean|1011667|12|17/05/2000|0.00|19.34|19.75|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2000001902|3
1412100|37210|||8|2006.73849167483|2048.88|02/10/2005 18:44:34.420997|jean|1002149|12|16/11/2000|0.00|250.84|256.11|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2000002940|3
1410585|35823|||33|31998.041136141|32670|02/10/2005 18:44:34.420997|jean|1004652|12|04/05/2004|0.00|969.63|990.00|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004001691|3
1408541|33970|||1|19.3437806072478|19.75|02/10/2005 18:44:34.420997|jean|1009673|12|07/10/1999|0.00|19.34|19.75|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||1999003039|3
1403371|25402|||7|1919.68658178257|1960|02/10/2005 18:44:34.420997|jean|1003710|12|17/05/2005|0.00|274.24|280.00|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005001424|3
1402583|25138|||2|97.9431929480901|100|02/10/2005 18:44:34.420997|jean|1002698|12|08/02/2005|0.00|48.97|50.00|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005000363|3
1400769|24585|||2|97.9431929480901|100|02/10/2005 18:44:34.420997|jean|1000803|12|12/04/2005|0.00|48.97|50.00|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005001222|3
1400858|24609|||2|97.9431929480901|100|02/10/2005 18:44:34.420997|jean|1000898|12|14/03/2005|0.00|48.97|50.00|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2005000972|3
(45 lignes)
